Tipo	Nome	Categorias
Rua	José Manzini	Pessoa,Homem
Rua	José Marques	Pessoa,Homem
Rua	José Marroni	Pessoa,Homem
Rua	José Martins da Silva	Pessoa,Homem
Rua	José Munhoz Moreno	Pessoa,Homem
Rua	José Nery Evangelista	Pessoa,Homem
Rua	José Pereira Godinho	Pessoa,Homem
Rua	José Pires de Almeida	Pessoa,Homem
Rua	José Rampazzo	Pessoa,Homem
Rua	José Sachetti	Pessoa,Homem
Rua	José Teodoro Ramos	Pessoa,Homem
Rua	José Terreiro	Pessoa,Homem
Rua	José Tomaz Vilela	Pessoa,Homem
Rua	José Vita	Pessoa,Homem
Rua	José de Souza Freire	Pessoa,Homem
Praça	João Balduino de Oliveira	Pessoa,Homem
Rua	João Barbosa Sobrinho	Pessoa,Homem
Rua	João Bispo dos Santos	Pessoa,Homem
Rua	João Casado	Pessoa,Homem
Rua	João Dias Gimenez	Pessoa,Homem
Rua	João Domingues da Silva	Pessoa,Homem
Rua	João Favaretto	Pessoa,Homem
Rua	João Flauzino Barbosa	Pessoa,Homem
Avenida	João Flauzino Barbosa	Pessoa,Homem
Rua	João Gonçalves	Pessoa,Homem
Rua	João Henrique Cassemiro	Pessoa,Homem
Rua	João Jacinto do Amaral	Pessoa,Homem
Rua	João Laiola	Pessoa,Homem
Rua	João Martins de Oliveira	Pessoa,Homem
Rua	João Miguel Martins	Pessoa,Homem
Rua	João Moya Hernandes	Pessoa,Homem
Rua	João Orestes	Pessoa,Homem
Rua	João Pio Barbosa	Pessoa,Homem
Rua	João Rosa da Silva	Pessoa,Homem
Rua	João Silverio dos Reis	Pessoa,Homem
Rua	João Vicente	Pessoa,Homem
Praça	João XXIII	Pessoa,Homem,Religioso
Rua	João dos Santos Barreira	Pessoa,Homem
Rua	Julia Bertiotti	Pessoa,Mulher
Rua	Juliano Guiotti	Pessoa,Homem
Rua	Julio Facina	Pessoa,Homem
Rua	Juvenal Pereira Souto	Pessoa,Homem
Rua	Kenroku Ogawa	Pessoa
Rua	Kie Doi	Pessoa
Rua	Laurindo Nogueira	Pessoa,Homem
Rua	Lazinha Pedro Batista	Pessoa,Mulher
Rua	Leocadia Sanches Montes	Pessoa,Mulher
Rua	Leontina Augusto de Souza	Pessoa,Mulher
Rua	Leôncio Vilas Boas	Pessoa,Homem
Rua	Lorival Eggert	Pessoa,Homem
Rua	Luis Carlos Fadel	Pessoa,Homem
Rua	Luiz Carlos Vito de Almeida	Pessoa,Homem
Rua	Luiz Delgado	Pessoa,Homem
Rua	Luiz Dias	Pessoa,Homem
Rua	Luiz Magrinelli	Pessoa,Homem
Rua	Luiz Manfio	Pessoa,Homem
Rua	Luiz Sachetti	Pessoa,Homem
Rua	Luiz de Souza Goncalves	Pessoa,Homem
Rua	Manoel Bastos Borges	Pessoa,Homem
Rua	Manoel Casado	Pessoa,Homem
Rua	Manoel Fernandes Barreira	Pessoa,Homem
Rua	Manoel Fernandes da Cruz	Pessoa,Homem
Rua	Manoel Joaquim Marobo	Pessoa,Homem
Rua	Manoel Mailio	Pessoa,Homem
Rua	Manoel Martins Correa	Pessoa,Homem
Rua	Manoel Simões Garrido	Pessoa,Homem
Rua	Marcos Antonio Teroso	Pessoa,Homem
Rua	Marcos Marim	Pessoa,Homem
Rua	Marechal Deodoro	Pessoa,Homem,Militar
Rua	Maria Aparecida Guadahin	Pessoa,Mulher
Rua	Maria Garrido	Pessoa,Mulher
Rua	Maria José Jabur	Pessoa,Mulher
Rua	Maria Juliana Serrana	Pessoa,Mulher
Rua	Maria Onofre Machado	Pessoa,Mulher
Avenida	Maria Pagotti Conte	Pessoa,Mulher
Rua	Maria Ramalho	Pessoa,Mulher
Rua	Maria do Carmo	Pessoa,Mulher
Rua	Mariana Alves Borges	Pessoa,Mulher
Rua	Marines Martins Batista	Pessoa,Mulher
Rua	Mario Buzzo Barriquelo	Pessoa,Homem
Rua	Mario Pimentel de Castro	Pessoa,Homem
Rua	Massae Hino	Pessoa,Mulher
Rua	Maura Aparecida Amaro Romão	Pessoa,Mulher
Rua	Maximina Leite	Pessoa,Mulher
Rua	Miguel Antonio Madureira	Pessoa,Homem
Rua	Miguel Antonucci	Pessoa,Homem
Rua	Miguel Couto	Pessoa,Homem
Praça	Monsenhor David	Pessoa,Homem,Religioso
Rua	Monsenhor David	Pessoa,Homem,Religioso
Rua	Nadir Bastos Borges da Silva	Pessoa,Homem
Rua	Nagib Elias	Pessoa,Homem
Rua	Nossa Senhora Aparecida	Santo
Rua	Nossa Senhora de Fátima	Santo
Avenida	Oliveira Pires	Pessoa
Rua	Orlando Ricardo Ferreira	Pessoa,Homem
Rua	Orlando de Almeida	Pessoa,Homem
Rua	Osiel Alves Pereira	Pessoa,Homem
Rua	Osvaldo Tofoli	Pessoa,Homem
Rua	Osvaldo da Conceição Garrido	Pessoa,Homem
Rua	Oswaldo Cruz	Pessoa,Homem
Rua	Otávio Pereira	Pessoa,Homem
Rua	Palmira de Arruda Leite	Pessoa,Mulher
Rua	Paraíso	Conceito
Rua	Paschoal Mussolini	Pessoa,Homem
Rua	Pascoal Adilson Biz	Pessoa,Homem
Rua	Paulino Tondatti	Pessoa,Homem
Rua	Paulo Honorato Soares	Pessoa,Homem
Rua	Paulo Roberto Delantonia	Pessoa,Homem
Rua	Pedro Alves Melo	Pessoa,Homem
Rua	Pedro Alves de Melo	Pessoa,Homem
Rua	Pedro Fontana	Pessoa,Homem
Rua	Pedro Gialluisi	Pessoa,Homem
Rua	Pedro Machado de Lima	Pessoa,Homem
Rua	Pedro Zorzenoni	Pessoa,Homem
Rua	Pedro de Oliveira Prado	Pessoa,Homem
Rua	Pereira do Lazaro	Pessoa
Rua	Pio XII	Pessoa,Homem,Religioso
Rua	Pires	Pessoa
Rua	Pompeu Manfio	Pessoa,Homem
Rua	Primavera	Conceito
Rua	Primeiro de Maio	Data
Rua	Princesa Isabel	Pessoa,Mulher,Nobreza
Rua	Raimundo Salvino do Nascimento	Pessoa,Homem
Rua	Raphael Gazoni	Pessoa,Homem
Rua	Rita Maria Felizardo	Pessoa,Mulher
Rua	Roberto Henrique da Silva	Pessoa,Homem
Rua	Rodrigues Ferreira de Brito	Pessoa,Homem
Rua	Romeu Bolfarini	Pessoa,Homem
Rua	Romão Eugênio Carreira	Pessoa,Homem
Rua	Roque Delfino de Oliveira	Pessoa,Homem
Rua	Roque Higino Carreira	Pessoa,Homem
Rua	Roseli Milke	Pessoa,Mulher
Rua	Rua B	Letra
Rua	Sabino dos Santos Nunes	Pessoa,Homem
Rua	Salvador Farah	Pessoa,Homem
Rua	Santa Izabel	Santo
Rua	Santa Rita	Santo
Rua	Santo Antônio	Santo
Rua	Santo Hino	Santo
Avenida	Santos Dumont	Pessoa,Homem
Rua	Sebastião Correia	Pessoa,Homem
Rua	Sebastião Dias da Mota	Pessoa,Homem
Rua	Sebastião José Flauzino	Pessoa,Homem
Rua	Sebastião José da Rocha	Pessoa,Homem
Rua	Sebastião Leite	Pessoa,Homem
Rua	Sebastião Porto Santana	Pessoa,Homem
Rua	Sebastião Ramos	Pessoa,Homem
Rua	Sebastião Rodrigues da Rocha	Pessoa,Homem
Rua	Sebastião Simões Garrido	Pessoa,Homem
Rua	Senhor do Bonfim	Santo
Rua	Sergio Frazão	Pessoa,Homem
Rua	Sete de Setembro	Data
Rua	Simão Casado	Pessoa,Homem
Rua	Simão Garrido	Pessoa,Homem
Rua	Sueli Domeni da Silva	Pessoa,Mulher
Rua	São Bento	Santo
Rua	São Caetano	Santo
Rua	São Francisco	Santo
Rua	São José	Santo
Rua	São José do Belem	Santo
Rua	São João	Santo
Avenida	São João	Santo
Rua	São Judas Tadeu	Santo
Rua	São Luiz	Santo
Unidade	São Manoel	Santo
Rua	São Paulo	Santo,Topônimo,Cidade
Rua	São Sebastião	Santo
Rua	Tavares da Silva	Pessoa
Rua	Terezinha Taiatella	Pessoa,Mulher
Rua	Theotonio Ribeiro de Oliveira	Pessoa,Homem
Rua	Thomaz Zonfrilli	Pessoa,Homem
Rua	Tiburcio Arlindo	Pessoa,Homem
Rua	Tobias Paulino Barreiros	Pessoa,Homem
Rua	Tomino Yamamoto	Pessoa
Rua	Tomé Alves	Pessoa,Homem
Rua	Torquato Ferreira da Silva	Pessoa,Homem
Rua	Urbano Tassito	Pessoa,Homem
Rua	Urias Leite	Pessoa,Homem
Rua	Valdecir Antonio Belini	Pessoa,Homem
Rua	Valter Chizolini	Pessoa,Homem
Rua	Vera Cruz	Topônimo,Cidade
Rua	Vera Lucia Roncon	Pessoa,Mulher
Rua	Vicente Marroni	Pessoa,Homem
Rua	Vicentina José Capriolli	Pessoa,Mulher
